ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m,leverage,liquidity_buffer,wc_ratio,profitability,z_score,late_filing,vix,term_spread,credit_spread,label_a,forward_max_drawdown,industry,year,month,firm_name
AAL,2010-05-31,0.24893921848929823,0.14974001098926348,1.5446693320449802,0.7088727689521728,0.7067143348887704,0.4640882153520362,0.8752169903999861,0.08616663976471119,-0.09824052905741662,0.013395880447237947,0.8199418089931267,0,13.90036829620625,1.6854924863517164,1.9652728634419567,0,-0.2697201334381254,Airlines,2010,5,American Airlines
AAL,2010-06-30,-0.08792364242659412,0.1635134235486353,0.7679674552381257,0.8054360856769153,0.6927854920252734,0.4640882153520362,0.8394200317159375,0.06924263351558389,-0.1086291128911977,-0.011801308226802611,0.710526896835028,0,16.008537747690433,1.637644542220457,1.8240927313981896,0,-0.2697201334381254,Airlines,2010,6,American Airlines
AAL,2010-07-31,0.2543352188797423,0.4682003334300213,0.937499932259138,0.7759329155857075,0.7040784072876529,0.4640882153520362,0.8352787269306297,0.07689062483648906,-0.08780239905619162,0.019401103049399543,0.8846550693063702,0,16.850881971421874,1.338926696386877,1.6544661011758786,1,-0.47073790802790955,Airlines,2010,7,American Airlines
AAL,2010-08-31,-0.15197029815342789,-0.01845840321241876,0.2349724820063228,0.6444321741608147,0.6868101786863597,0.4640882153520362,0.8658984622775111,0.09349135105113429,-0.07883659812351797,0.027057647710678354,0.91302794912546,0,14.827300618734697,1.6147611724810116,2.0677178101999605,1,-0.5258693813042479,Airlines,2010,8,American Airlines
AAL,2010-09-30,-0.0324269666297935,0.1294260373546039,0.29733505243313507,0.5786288037542751,0.6986230974675071,0.35619436495648565,0.8502372535836157,0.07019211991586441,-0.08520111897241368,0.04519621073332294,1.000038495529552,0,15.96450851656354,1.9784730531875452,2.0825824320617556,1,-0.533502991032052,Airlines,2010,9,American Airlines
AAL,2010-10-31,0.2691068261788703,0.10600357038606578,0.7186588378506813,0.47699495953874643,0.641525765743975,0.2476723620943595,0.8568421207930084,0.09917259148426123,-0.13051143416122168,0.0026875492283068812,0.7419124879037714,0,18.93620801781204,1.9476286676995906,1.7411829353677502,1,-0.533502991032052,Airlines,2010,10,American Airlines
AAL,2010-11-30,-0.04288155900447066,0.16736392066118633,0.21172646200190526,0.4370196117155474,0.5491304847910402,0.2476723620943595,0.8671040301549652,0.08264290210153251,-0.07372435646856385,0.019767925389098908,0.8841776034735092,0,12.88363536938514,1.8487424450245862,1.8403874529517874,1,-0.5770610175086927,Airlines,2010,11,American Airlines
AAL,2010-12-31,-0.09900986402805223,0.09758748565933906,0.23886111970627666,0.40772830164237156,0.492378445639447,0.2476723620943595,0.8326404915494333,0.07786406757794957,-0.1306536794184747,0.003071139903544483,0.7580656473148295,0,16.08904969090999,1.7138631938848699,2.178141278258634,1,-0.5284715061093997,Airlines,2010,12,American Airlines
AAL,2011-01-31,-0.00899068279670534,-0.14922798497006418,-0.0694184058981594,0.4476115479785763,0.4620256713719268,0.2476723620943595,0.8694488799583602,0.0887278741446961,-0.09273991430387847,-0.005816162814407038,0.7397068096326167,0,21.264658545943327,1.7991288274066939,2.2138785339411475,1,-0.5241936824355089,Airlines,2011,1,American Airlines
AAL,2011-02-28,-0.15255915576271184,-0.23670225550208213,-0.02931213792208376,0.4782090968870499,0.46062856455018386,0.30157419383821027,0.8428319284897422,0.06775000111339949,-0.0764693349242447,0.011244167996560982,0.8553852305808977,0,13.681873857258426,1.6589725335586436,2.0628543989013735,1,-0.4813189240481071,Airlines,2011,2,American Airlines
AAL,2011-03-31,0.04186607184128288,-0.1298698647552301,-0.062432419542095996,0.5628832674749482,0.48995108068015975,0.3413421853223586,0.828285045784369,0.08029796165121425,-0.11280308913669224,0.0422561586530556,0.9662692112347092,0,12.021203620178632,1.7834598092953704,2.161447306915713,1,-0.4813189240481071,Airlines,2011,3,American Airlines
AAL,2011-04-30,0.04362815978815693,-0.08366924905970963,-0.22900743382148547,0.5098748135168456,0.47697028639712175,0.3421706135565204,0.8353037820493162,0.06600771740775369,-0.1430582703151503,0.01953820246379877,0.8189773579720842,0,16.136470241893292,1.4533815878031173,1.7603397710598425,1,-0.4813189240481071,Airlines,2011,4,American Airlines
AAL,2011-05-31,0.0044152964609629475,0.1417821012581879,-0.18458759707953076,0.5025163775978864,0.5008950843362178,0.3421706135565204,0.8387613977228414,0.06571095393488273,-0.0762154707748843,0.030008677211438628,0.9463253793301956,0,16.598572220675898,1.5936878238891288,1.8337690031513443,1,-0.4813189240481071,Airlines,2011,5,American Airlines
AAL,2011-06-30,-0.02195387694849027,0.014806299921676036,-0.10989006435819082,0.4392235897568015,0.5032283802486986,0.3421706135565204,0.8494356424212554,0.09364326244170867,-0.08674927933202775,0.007657161477223515,0.822228138291764,0,19.486612147298587,1.2805593907033932,1.5753799299915117,1,-0.4702581388998797,Airlines,2011,6,American Airlines
